time,s19
2023-07-24 07:20:01,100.0
2023-07-24 07:20:02,100.0
2023-07-24 07:20:03,100.0
2023-07-24 07:20:04,100.0
2023-07-24 07:20:09,100.0
2023-07-24 07:20:10,100.0
2023-07-24 07:20:11,100.0
2023-07-24 07:20:12,100.0
2023-07-24 07:20:17,100.0
2023-07-24 07:20:18,100.0
2023-07-24 07:20:19,100.0
2023-07-24 07:20:20,100.0
2023-07-24 07:20:25,100.0
2023-07-24 07:20:26,100.0
2023-07-24 07:20:27,100.0
2023-07-24 07:20:28,100.0
2023-07-24 07:20:33,100.0
2023-07-24 07:20:34,100.0
2023-07-24 07:20:35,100.0
2023-07-24 07:20:36,100.0
2023-07-24 07:20:41,100.0
2023-07-24 07:20:42,100.0
2023-07-24 07:20:43,100.0
2023-07-24 07:20:44,100.0
2023-07-24 07:20:49,100.0
2023-07-24 07:20:50,100.0
2023-07-24 07:20:51,100.0
2023-07-24 07:20:52,100.0
2023-07-24 07:20:57,100.0
2023-07-24 07:20:58,100.0
2023-07-24 07:20:59,100.0
2023-07-24 07:21:00,100.0
2023-07-24 07:21:05,100.0
2023-07-24 07:21:06,100.0
2023-07-24 07:21:07,100.0
2023-07-24 07:21:08,100.0
2023-07-24 07:21:13,100.0
2023-07-24 07:21:14,100.0
2023-07-24 07:21:15,100.0
2023-07-24 07:21:16,100.0
2023-07-24 07:21:21,100.0
2023-07-24 07:21:22,100.0
2023-07-24 07:21:23,100.0
2023-07-24 07:21:24,100.0
2023-07-24 07:21:33,100.0
2023-07-24 07:21:34,100.0
2023-07-24 07:21:35,100.0
2023-07-24 07:21:36,100.0
2023-07-24 07:21:41,100.0
2023-07-24 07:21:42,100.0
2023-07-24 07:21:43,100.0
2023-07-24 07:21:44,100.0
2023-07-24 07:21:49,100.0
2023-07-24 07:21:50,100.0
2023-07-24 07:21:51,100.0
2023-07-24 07:21:52,100.0
2023-07-24 07:21:57,100.0
2023-07-24 07:21:58,100.0
2023-07-24 07:21:59,100.0
2023-07-24 07:22:00,100.0
2023-07-24 07:22:05,100.0
2023-07-24 07:22:06,100.0
2023-07-24 07:22:07,100.0
2023-07-24 07:22:08,100.0
2023-07-24 07:22:13,100.0
2023-07-24 07:22:14,100.0
2023-07-24 07:22:15,100.0
2023-07-24 07:22:16,100.0
2023-07-24 07:22:21,100.0
2023-07-24 07:22:22,100.0
2023-07-24 07:22:23,100.0
2023-07-24 07:22:24,100.0
2023-07-24 07:22:29,100.0
2023-07-24 07:22:30,100.0
2023-07-24 07:22:31,100.0
2023-07-24 07:22:32,100.0
2023-07-24 07:22:37,100.0
2023-07-24 07:22:38,100.0
2023-07-24 07:22:39,100.0
2023-07-24 07:22:40,100.0
2023-07-24 07:22:45,100.0
2023-07-24 07:22:46,100.0
2023-07-24 07:22:53,100.0
2023-07-24 07:22:54,100.0
2023-07-24 07:22:55,100.0
2023-07-24 07:22:56,100.0
2023-07-24 07:23:01,100.0
2023-07-24 07:23:02,100.0
2023-07-24 07:23:03,100.0
2023-07-24 07:23:04,100.0
2023-07-24 07:23:09,100.0
2023-07-24 07:23:10,100.0
2023-07-24 07:23:11,100.0
2023-07-24 07:23:12,100.0
2023-07-24 07:23:17,100.0
2023-07-24 07:23:18,100.0
2023-07-24 07:23:19,100.0
2023-07-24 07:23:20,100.0
2023-07-24 07:23:25,100.0
2023-07-24 07:23:26,100.0
2023-07-24 07:23:27,100.0
2023-07-24 07:23:28,100.0
2023-07-24 07:23:33,100.0
2023-07-24 07:23:34,100.0
2023-07-24 07:23:35,100.0
2023-07-24 07:23:36,100.0
2023-07-24 07:23:41,100.0
2023-07-24 07:23:42,100.0
2023-07-24 07:23:43,100.0
2023-07-24 07:23:44,100.0
2023-07-24 07:23:49,100.0
2023-07-24 07:23:50,100.0
2023-07-24 07:23:51,100.0
2023-07-24 07:23:52,100.0
2023-07-24 07:23:57,100.0
2023-07-24 07:23:58,100.0
2023-07-24 07:23:59,100.0
2023-07-24 07:24:00,100.0
2023-07-24 07:24:05,100.0
2023-07-24 07:24:06,100.0
2023-07-24 07:24:07,100.0
2023-07-24 07:24:08,100.0
2023-07-24 07:24:15,100.0
2023-07-24 07:24:16,100.0
2023-07-24 07:24:17,100.0
2023-07-24 07:24:18,100.0
2023-07-24 07:24:23,100.0
2023-07-24 07:24:24,100.0
2023-07-24 07:24:25,100.0
2023-07-24 07:24:26,100.0
2023-07-24 07:24:35,100.0
2023-07-24 07:24:36,100.0
2023-07-24 07:24:41,100.0
2023-07-24 07:24:42,100.0
2023-07-24 07:24:43,100.0
2023-07-24 07:24:44,100.0
2023-07-24 07:24:49,100.0
2023-07-24 07:24:50,100.0
2023-07-24 07:24:51,100.0
2023-07-24 07:24:52,100.0
2023-07-24 07:24:57,100.0
2023-07-24 07:24:58,100.0
2023-07-24 07:24:59,100.0
2023-07-24 07:25:00,100.0
2023-07-24 07:25:05,100.0
2023-07-24 07:25:06,100.0
2023-07-24 07:25:07,100.0
2023-07-24 07:25:08,100.0
2023-07-24 07:25:13,100.0
2023-07-24 07:25:14,100.0
2023-07-24 07:25:15,100.0
2023-07-24 07:25:16,100.0
2023-07-24 07:25:21,100.0
2023-07-24 07:25:22,100.0
2023-07-24 07:25:23,100.0
2023-07-24 07:25:24,100.0
2023-07-24 07:25:29,100.0
2023-07-24 07:25:30,100.0
2023-07-24 07:25:31,100.0
2023-07-24 07:25:32,100.0
2023-07-24 07:25:37,100.0
2023-07-24 07:25:38,100.0
2023-07-24 07:25:39,100.0
2023-07-24 07:25:40,100.0
2023-07-24 07:25:45,100.0
2023-07-24 07:25:46,100.0
2023-07-24 07:25:47,100.0
2023-07-24 07:25:48,100.0
2023-07-24 07:25:53,100.0
2023-07-24 07:25:54,100.0
2023-07-24 07:25:55,100.0
2023-07-24 07:25:56,100.0
2023-07-24 07:26:01,100.0
2023-07-24 07:26:02,100.0
2023-07-24 07:26:03,100.0
2023-07-24 07:26:04,100.0
2023-07-24 07:26:09,100.0
2023-07-24 07:26:10,100.0
2023-07-24 07:26:11,100.0
2023-07-24 07:26:12,100.0
2023-07-24 07:26:17,100.0
2023-07-24 07:26:18,100.0
2023-07-24 07:26:19,100.0
2023-07-24 07:26:20,100.0
2023-07-24 07:26:25,100.0
2023-07-24 07:26:26,100.0
2023-07-24 07:26:27,100.0
2023-07-24 07:26:28,100.0
2023-07-24 07:26:33,100.0
2023-07-24 07:26:34,100.0
2023-07-24 07:26:37,100.0
2023-07-24 07:26:38,100.0
2023-07-24 07:26:43,100.0
2023-07-24 07:26:44,100.0
2023-07-24 07:26:51,100.0
2023-07-24 07:26:52,100.0
2023-07-24 07:26:53,100.0
2023-07-24 07:26:54,100.0
2023-07-24 07:27:45,100.0
2023-07-24 07:27:46,100.0
2023-07-24 07:27:47,100.0
2023-07-24 07:27:48,100.0
2023-07-24 07:27:49,100.0
2023-07-24 07:27:50,100.0
2023-07-24 07:27:55,100.0
2023-07-24 07:27:56,100.0
2023-07-24 07:27:57,100.0
2023-07-24 07:27:58,100.0
2023-07-24 07:28:03,100.0
2023-07-24 07:28:04,100.0
2023-07-24 07:28:05,100.0
2023-07-24 07:28:06,100.0
2023-07-24 07:28:11,100.0
2023-07-24 07:28:12,100.0
2023-07-24 07:28:13,100.0
2023-07-24 07:28:14,100.0
2023-07-24 07:28:19,100.0
2023-07-24 07:28:20,100.0
2023-07-24 07:28:21,100.0
2023-07-24 07:28:22,100.0
2023-07-24 07:28:27,100.0
2023-07-24 07:28:28,100.0
2023-07-24 07:28:29,100.0
2023-07-24 07:28:30,100.0
2023-07-24 07:28:35,100.0
2023-07-24 07:28:36,100.0
2023-07-24 07:28:37,100.0
2023-07-24 07:28:38,100.0
2023-07-24 07:28:43,100.0
2023-07-24 07:28:44,100.0
2023-07-24 07:28:45,100.0
2023-07-24 07:28:46,100.0
2023-07-24 07:28:51,100.0
2023-07-24 07:28:52,100.0
2023-07-24 07:28:53,100.0
